Timestamp (seconds),Hand X,Hand Y,In Zone (1=Yes/0=No),Part Placed
4.175,437.50,187.73,0,
4.179,437.50,187.73,0,
4.185,437.50,187.73,0,
4.189,437.50,187.73,0,
4.195,437.50,187.73,0,
4.201,437.50,187.73,0,
4.206,437.50,187.73,0,
4.211,437.50,187.73,0,
4.214,437.50,187.73,0,
4.220,437.50,187.73,0,
4.223,437.50,187.73,0,
4.231,437.50,187.73,0,
4.234,437.50,187.73,0,
4.240,437.50,187.73,0,
4.244,437.50,187.73,0,
4.249,437.50,187.73,0,
4.254,437.50,187.73,0,
4.258,437.50,187.73,0,
4.265,437.50,187.73,0,
4.269,437.50,187.73,0,
4.275,437.50,187.73,0,
4.279,437.50,187.73,0,
4.284,437.50,187.73,0,
4.288,437.50,187.73,0,
4.295,437.50,187.73,0,
4.299,437.50,187.73,0,
4.303,437.50,187.73,0,
4.309,437.50,187.73,0,
4.314,437.50,187.73,0,
4.320,437.50,187.73,0,
4.327,437.50,187.73,0,
4.332,437.50,187.73,0,
4.337,437.50,187.73,0,
4.341,437.50,187.73,0,
4.347,437.50,187.73,0,
4.354,437.50,187.73,0,
4.360,437.50,187.73,0,
4.364,437.50,187.73,0,
4.368,437.50,187.73,0,
4.374,437.50,187.73,0,
4.378,437.50,187.73,0,
4.383,437.50,187.73,0,
4.388,437.50,187.73,0,
4.395,437.50,187.73,0,
4.399,437.50,187.73,0,
4.404,437.50,187.73,0,
4.407,437.50,187.73,0,
4.413,437.50,187.73,0,
4.418,437.50,187.73,0,
4.424,437.50,187.73,0,
4.430,437.50,187.73,0,
4.434,437.50,187.73,0,
4.439,437.50,187.73,0,
4.443,437.50,187.73,0,
4.448,437.50,187.73,0,
4.455,437.50,187.73,0,
4.459,437.50,187.73,0,
4.464,437.50,187.73,0,
4.469,437.50,187.73,0,
4.474,437.50,187.73,0,
4.479,437.50,187.73,0,
4.483,437.50,187.73,0,
4.486,437.50,187.73,0,
4.492,437.50,187.73,0,
4.497,437.50,187.73,0,
4.504,437.50,187.73,0,
4.508,437.50,187.73,0,
4.513,437.50,187.73,0,
4.518,437.50,187.73,0,
4.522,437.50,187.73,0,
4.527,437.50,187.73,0,
4.535,437.50,187.73,0,
4.539,437.50,187.73,0,
4.544,437.50,187.73,0,
4.547,437.50,187.73,0,
4.554,437.50,187.73,0,
4.560,437.50,187.73,0,
4.566,437.50,187.73,0,
4.573,437.50,187.73,0,
4.577,437.50,187.73,0,
4.582,437.50,187.73,0,
4.586,437.50,187.73,0,
4.591,437.50,187.73,0,
4.597,437.50,187.73,0,
4.602,437.50,187.73,0,
4.606,437.50,187.73,0,
4.618,437.50,187.73,0,
4.630,437.50,187.73,0,
4.637,437.50,187.73,0,
4.642,437.50,187.73,0,
4.646,437.50,187.73,0,
4.652,437.50,187.73,0,
4.655,437.50,187.73,0,
4.659,437.50,187.73,0,
4.666,437.50,187.73,0,
4.670,437.50,187.73,0,
4.675,437.50,187.73,0,
4.681,437.50,187.73,0,
4.687,437.50,187.73,0,
4.692,437.50,187.73,0,
4.698,437.50,187.73,0,
4.703,437.50,187.73,0,
4.707,437.50,187.73,0,
4.713,437.50,187.73,0,
4.717,437.50,187.73,0,
4.722,437.50,187.73,0,
4.728,437.50,187.73,0,
4.733,437.50,187.73,0,
4.738,437.50,187.73,0,
4.742,437.50,187.73,0,
4.747,437.50,187.73,0,
4.754,437.50,187.73,0,
4.758,437.50,187.73,0,
4.764,437.50,187.73,0,
4.768,437.50,187.73,0,
4.773,437.50,187.73,0,
4.777,437.50,187.73,0,
4.782,437.50,187.73,0,
4.787,437.50,187.73,0,
4.794,437.50,187.73,0,
4.798,437.50,187.73,0,
